time,pos_x,pos_y,pos_z,euler_roll,euler_pitch,euler_yaw,task_vel_1,task_vel_2,task_vel_3,task_vel_4,task_vel_5,task_vel_6,task_acc_1,task_acc_2,task_acc_3,task_acc_4,task_acc_5,task_acc_6,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,desired_pos_x,desired_pos_y,desired_pos_z,desired_euler_roll,desired_euler_pitch,desired_euler_yaw
9.683999999999903,0.6183756156758464,-0.1460724318859509,0.48490323647348627,-1.7060017412049386,-0.20804696121416397,0.6657399116809296,0.022446561303165587,-0.018969522882003848,0.022597350224991448,0.08536207275457684,0.22316399686294297,-0.063682419808909,-7.460515132854178,11.25713746697716,16.473868300222996,154.46618306308358,65.98845678890547,-30.572196826051616,-0.460826540876957,-0.506456482109833,-0.07237383179746518,-4.346541400015895,-4.839602465481263,0.47198340972067526,-0.006932804977976888,-1.4450321470681384,3.068832171917969,-1.3924343890348287,0.03426170761342866,0.05106463848731846,-1.9545294839540532,-106.56581695569766,210.0173048796834,17.817982644464493,-100.49659910590061,51.42848104611707,0.5,0.0,0.5,0.0,-0.0,0.0
9.685999999999904,0.6184249065788682,-0.14611317647543481,0.48495486448619385,-1.7055941852722953,-0.20781452835707334,0.6655280298847366,0.022772915117381606,-0.019443130192079053,0.02454982165008893,0.08504366926497657,0.21454468571943036,-0.06386975290382686,-7.473024567234871,11.277120144104842,16.432226862515467,154.44939248392646,66.11835161405442,-30.58489319121008,-0.46084223911676436,-0.5097335449937398,-0.06544183559677613,-4.349749332786665,-4.839541223625988,0.4720856396622455,-0.007849119903673518,-1.6385314419533965,3.465998100344521,-1.6039663853846373,0.030620927637352368,0.05111497078510187,-1.9272718486006313,-115.84718863290132,229.4696997722325,7.7634911139722655,-100.43783758621541,51.406249653432226,0.5,0.0,0.5,0.0,-0.0,0.0
9.687999999999905,0.6184740191904351,-0.1461540025653567,0.48500954221641795,-1.70522978288764,-0.2076059219399191,0.6653248651909264,0.022245018523591356,-0.019266015032614978,0.025779738504448268,0.07584320495319315,0.1921256282540423,-0.06400553070254421,-7.468560842248837,11.283977614870798,16.405173007551866,154.61313904380253,66.52758885697152,-30.595913965720673,-0.46085862937274474,-0.5133882406550976,-0.05774455279295404,-4.35339330093169,-4.839483484921584,0.472188211710256,-0.008195127990197861,-1.8273478306789086,3.848641401911044,-1.821984072512539,0.028869352201625467,0.051286024005258744,-1.9115522324884293,-130.49257938030576,260.19710909431063,-7.87160378045763,-100.41593627531952,51.38391316416366,0.5,0.0,0.5,0.0,-0.0,0.0
9.689999999999905,0.6185213520414892,-0.14619336958044785,0.4850659563576436,-1.7049505930815576,-0.20743298530224327,0.6651392193225751,0.020897377550698506,-0.018309077173076945,0.026340781530330815,0.05409402560629205,0.15234817519317634,-0.06405897228510951,-7.447648416206456,11.274578819144141,16.391910411952917,155.03401835363087,67.28989350917035,-30.60423908765158,-0.4608737000135004,-0.5174066137296496,-0.04932377463153721,-4.35748776484301,-4.839421972166896,0.47229144682067536,-0.007535320377831747,-2.009186537276002,4.210389080708415,-2.0472319556602794,0.030756377344250272,0.051617555209700294,-1.9167763487200264,-153.7771903875403,309.0577130141552,-32.57022660553057,-100.46618211353784,51.36302282248364,0.5,0.0,0.5,0.0,-0.0,0.0
9.691999999999906,0.6185652989813311,-0.14623019201196574,0.4851232074083649,-1.7048133632444886,-0.20730952323950852,0.6649818220342381,0.018748204075570964,-0.01681008203788592,0.026453900666357177,0.014735748643506961,0.09001064359535305,-0.06456972970062368,-7.410483478432289,11.253091088193287,16.38842465744632,155.8177594310718,68.51250893289523,-30.596968285935343,-0.4608855184508634,-0.5217682052090407,-0.040239853366768275,-4.362048951512023,-4.839344855307112,0.4723957137515746,-0.00590921868148904,-2.180795739695519,4.541960632384471,-2.2805933345063667,0.0385584298919563,0.052133465449602935,-1.9429378942156905,-192.31563606380914,389.8877884117516,-73.41093038067916,-100.63460762740965,51.34643046273333,0.5,0.0,0.5,0.0,-0.0,0.0
9.693999999999907,0.6186046426131953,-0.14626327911002254,0.4851810489292385,-1.7049071842920756,-0.20724228559230876,0.6648685287845448,0.016028069845658514,-0.01473436616397111,0.02647048999015121,-0.05686890807993477,-0.0018713456662527615,-0.06630266712582365,-7.361506871692822,11.21808240702375,16.38832343854452,157.26480771276914,70.33911057881981,-30.55667718201309,-0.46088908915485477,-0.5264403177454017,-0.030587433675964712,-4.3670965962176105,-4.839219770041997,0.4725016588308219,-0.0017853519956837057,-2.336056268180533,4.826209845401781,-2.523822352793753,0.06254263255723856,0.05297253962367613,-2.021847083327689,-261.66505316654616,535.1989599883858,-147.08519754413217,-101.1286587501705,51.337335048320895,0.5,0.0,0.5,0.0,-0.0,0.0
9.695999999999907,0.6186391090683933,-0.14629098445987285,0.4852405199826709,-1.7053951251459158,-0.20720892470980484,0.6648261831541937,0.013280302541556037,-0.011889651095608213,0.02708342892238716,-0.1981765275011497,-0.13418303759484135,-0.07139491627308472,-7.311364966553072,11.164628191120809,16.378910216231656,160.13978109951628,72.99226980075203,-30.439482502579903,-0.4608705279820554,-0.5313646158088323,-0.020532516764260524,-4.372657607335936,-4.8389554271497754,0.4726106410239992,0.009280586399672643,-2.4621490317153403,5.027458455852095,-2.780505559162588,0.13217144611109138,0.0544910965886481,-2.244575780910517,-408.2837162608081,841.9970290755621,-303.59873378549366,-102.5445233215034,51.34116220308846,0.5,0.0,0.5,0.0,-0.0,0.0
9.697999999999908,0.6186712546916125,-0.1463114252729345,0.4853066648400399,-1.7066105654336843,-0.2071448112296609,0.6649079031580382,0.01208851802214221,-0.008241748586627521,0.03041799198945832,-0.48776304838398715,-0.3417506963470483,-0.08430002126786364,-7.291562947319174,11.090258379243261,16.320065154059083,166.0466304111879,77.17709561965148,-30.155428088651643,-0.46079911360721293,-0.536418283234504,-0.01042113986969756,-4.378775743190433,-4.838347694122265,0.47272554235841674,0.03570718742124157,-2.526833712835826,5.055688447281482,-3.0590679272485186,0.30386651375524504,0.05745066720878788,-2.783738826106098,-851.3711948376806,1767.5878125541788,-779.7076664536811,-106.02642803413806,51.36947658706295,0.5,0.0,0.5,0.0,-0.0,0.0
9.699999999999909,0.6187144667454553,-0.14632180135820708,0.485399900871816,-1.7095582067835045,-0.20681910950439963,0.6652683067195868,0.018448824295085157,-0.003621345883615165,0.04462040096680507,-1.2351187696219388,-0.7622945176456151,-0.12363722640176783,-7.422037404724505,10.98696309168886,16.05609455585821,181.27443267802485,85.6711560971742,-29.332061617696912,-0.4605780284817589,-0.541226109212953,-0.0013047130377718558,-4.385564115917292,-4.836747824956209,0.4728554614815727,0.11054256272703031,-2.4039129892244646,4.558213415962852,-3.3941863634299025,0.7999345830282601,0.06495956157796937,-4.312690095666161,-7239.192009834366,15085.775357127392,-7695.650105211334,-116.07112920336503,51.44313212597544,0.5,0.0,0.5,0.0,-0.0,0.0
9.70199999999991,0.6188210942299678,-0.1463411858073459,0.4856047955488311,-1.7166730306881948,-0.20645047283897602,0.666312669305062,0.05289325053973671,-0.009477991597117657,0.10284730021946159,-2.850297533927167,-2.007099141257535,-0.21281382547676808,-8.118766686085827,11.075072704995984,14.941739641614493,214.23393808642416,110.80956072715087,-27.437191540248797,-0.4600879068914063,-0.5447014751591654,0.0037564659584723792,-4.393297556397147,-4.833302428438535,0.4730182408883419,0.24506079517630397,-1.7376829731062151,2.5305894981221173,-3.866720239927105,1.7226982588368012,0.08138970338459185,-7.078634302366723,2662.1498501675437,-5537.722791200032,3063.755690596724,-134.7756899457955,51.64802624267139,0.5,0.0,0.5,0.0,-0.0,0.0
9.70399999999991,0.6188299741564746,-0.14632590515972402,0.4856563772812718,-1.7188523425245599,-0.20585944459548883,0.6665348976670562,0.001515116441630838,0.009084959015514087,0.023899410957052183,-1.0208563897762515,-0.42729074426483665,-0.11255236676706167,-7.090393095164667,10.693339264165914,16.53406447771427,177.86736798273017,79.24901435191686,-29.44151062730851,-0.4598653961700508,-0.5491783678026768,0.012467283866482087,-4.399217243728777,-4.831788968366429,0.4731340340063756,0.11125536067773373,-2.2384463217557085,4.355408954004854,-2.9598436658153027,0.7567300360529132,0.05789655901686501,-4.431345480271592,842.1799440302476,-1760.2151475802075,1061.7642366524278,-115.58129424225079,52.29676334764173,0.5,0.0,0.5,0.0,-0.0,0.0
9.70599999999991,0.6188131586929995,-0.14631133845438682,0.4856749814513402,-1.719626604154485,-0.205704080876047,0.6665583162405556,-0.010781523378072496,0.008457500782902133,0.007713016992560603,-0.3458486108634373,-0.17328703229345158,-0.06746890394701041,-6.8432481076260645,10.700964985059553,16.860884220548513,164.4457926994726,74.1806606343841,-30.334125254922736,-0.4597921714268513,-0.5530447327837773,0.020266327919222258,-4.403779320797463,-4.831288291486749,0.473234090327199,0.036612371599746174,-1.9331824905502677,3.899522026370086,-2.2810385343434527,0.2503384398398828,0.05002816041169936,-2.949903584268265,529.2871811700319,-1111.699702783163,715.6350501888137,-105.49768700456443,52.51127004057034,0.5,0.0,0.5,0.0,-0.0,0.0
9.707999999999911,0.6187851176700946,-0.14629842992064024,0.48567947040998555,-1.7197467531669108,-0.20573479424854169,0.6664868253632863,-0.015491776223307248,0.0071827359047726995,0.0012545653728301216,-0.03672455913293152,-0.04843076501063537,-0.048017812281639115,-6.74767029129004,10.72437377853284,16.98839188576906,158.2757262933562,71.68282400767599,-30.711543526668923,-0.4597878677050818,-0.5560307388779199,0.02639913528866076,-4.407056593363084,-4.831243707677767,0.4733274954362435,0.0021518608847543724,-1.4930030470713092,3.066403684719251,-1.6386362828103005,0.0222919044911547,0.04670255452223803,-2.2638622682710077,405.56795112522906,-855.5277576043068,578.1997050088892,-100.9448222994221,52.57888764105791,0.5,0.0,0.5,0.0,-0.0,0.0
9.709999999999912,0.6187542020414911,-0.1462889337640989,0.4856799194679349,-1.7195026599021996,-0.20583157906280294,0.6663574833572508,-0.016136217229618742,0.005084544659231604,-0.00023068420657792945,0.12382478832887643,0.03581891008219233,-0.03974004935763461,-6.733578265412154,10.76645099245399,17.013818378554557,155.04190675213002,69.9873732084504,-30.866895133177117,-0.45981866336763416,-0.5580272049963408,0.030565238240319335,-4.409062860711812,-4.831418266068623,0.47341786167893846,-0.015397831276198398,-0.998233059210464,2.083051475829288,-1.003133674363902,-0.08727919542845369,0.045183121347501874,-1.9111207823958654,343.3135343320785,-726.726984835144,508.6928902577454,-98.74453276330443,52.581093100782596,0.5,0.0,0.5,0.0,-0.0,0.0
9.711999999999913,0.6187254527267465,-0.14628415695061903,0.4856819995380749,-1.7190278416290485,-0.205924123858872,0.6661859451872952,-0.014538559859722234,0.0024702371552338294,0.0009330713193654006,0.21129544785981924,0.10725942217618685,-0.037261819101930244,-6.764730460720353,10.820926904279121,16.984637175083993,153.2492745008697,68.53852034838187,-30.9106448273601,-0.4598670562467403,-0.5589842610585793,0.032628616481573954,-4.409799986554962,-4.831688878892164,0.47350687875438474,-0.0241964395530775,-0.47852803111925857,1.0316891206273102,-0.368562921575053,-0.13530641177055913,0.044508537723154766,-1.729979514071972,311.289109585842,-660.6090132694177,472.50015601137505,-97.76835335758376,52.55020479864048,0.5,0.0,0.5,0.0,-0.0,0.0
9.713999999999913,0.6187014010385263,-0.14628471768022486,0.48568829780085143,-1.7183856203638013,-0.20597396848724406,0.6659792792436516,-0.012020879124539786,-0.00028226210443145695,0.003157620428525425,0.26254259952710424,0.1746291440869831,-0.037708506562493686,-6.814787542880627,10.880190712265572,16.933092842455363,152.16797890583436,67.1612163069243,-30.90210388944703,-0.45992403708964397,-0.5588805076482636,0.032530552967364935,-4.4092701903939755,-4.83199246203413,0.4735953337508726,-0.028490421451831144,0.051876705157901215,-0.04903175710451002,0.2648980804930984,-0.15179157098276588,0.04422749824392525,-1.63625585323808,300.39659469007694,-638.3926659754317,459.4582174685038,-97.42152501782978,52.5016735860894,0.5,0.0,0.5,0.0,-0.0,0.0
